trade_date,code,name
20260522,000026,飞亚达
20260522,000630,铜陵有色
20260522,000725,京东方Ａ
20260522,000962,东方钽业
20260522,001225,和泰机电
20260522,002046,国机精工
20260522,002080,中材科技
20260522,002273,水晶光电
20260522,002432,九安医疗
20260522,002585,双星新材
20260522,002606,大连电瓷
20260522,002725,跃岭股份
20260522,002733,雄韬股份
20260522,002826,易明医药
20260522,002859,洁美科技
20260522,002885,京泉华
20260522,002897,意华股份
20260522,002916,深南电路
20260522,002938,鹏鼎控股
20260522,002993,奥海科技
20260522,300179,四方达
20260522,300243,瑞丰高材
20260522,301312,智立方
20260522,301362,民爆光电
20260522,600160,巨化股份
20260522,600183,生益科技
20260522,600191,华资实业
20260522,600497,驰宏锌锗
20260522,600563,法拉电子
20260522,600596,新安股份
20260522,600888,新疆众和
20260522,603223,恒通股份
20260522,603256,宏和科技
20260522,603379,三美股份
20260522,603678,火炬电子
20260522,603806,福斯特
20260522,603867,新化股份
20260522,603890,春秋电子
20260522,603931,格林达
20260522,603936,博敏电子
20260522,603960,克来机电
20260522,603976,正川股份
20260522,605180,华生科技
20260522,605500,森林包装
20260522,605580,恒盛能源
20260525,000875,电投绿能
20260525,000988,华工科技
20260525,002012,凯恩股份
20260525,002056,横店东磁
20260525,002156,通富微电
20260525,002185,华天科技
20260525,002409,雅克科技
20260525,002432,九安医疗
20260525,002438,江苏神通
20260525,002585,双星新材
20260525,002645,华宏科技
20260525,002897,意华股份
20260525,002938,鹏鼎控股
20260525,002957,科瑞技术
20260525,003036,泰坦股份
20260525,300275,梅安森
20260525,300626,华瑞股份
20260525,300779,惠城环保
20260525,300975,商络电子
20260525,600310,广西能源
20260525,600584,长电科技
20260525,600592,龙溪股份
20260525,600969,郴电国际
20260525,603010,万盛股份
20260525,603203,快克智能
20260525,603256,宏和科技
20260525,603303,得邦照明
20260525,603730,岱美股份
20260525,603823,百合花
20260525,603919,金徽酒
20260525,603936,博敏电子
20260525,605111,新洁能
20260525,605580,恒盛能源
20260526,002185,华天科技
20260526,002585,双星新材
20260526,002627,三峡旅游
20260526,002733,雄韬股份
20260526,002957,科瑞技术
20260526,003036,泰坦股份
20260526,301591,肯特股份
20260526,600183,生益科技
20260526,600301,华锡有色
20260526,600367,红星发展
20260526,600378,昊华科技
20260526,600584,长电科技
20260526,603353,和顺石油
20260526,603995,甬金股份
20260526,688183,生益电子
20260526,688335,复洁科技
20260527,001360,南矿集团
20260527,002484,江海股份
20260527,600353,旭光电子
20260527,603032,德新科技
20260527,605055,迎丰股份
20260527,605066,天正电气
20260527,605167,利柏特
20260527,605300,佳禾食品
20260528,000600,建投能源
20260528,000920,沃顿科技
20260528,002056,横店东磁
20260528,002350,北京科锐
20260528,002669,康达新材
20260528,002688,金河生物
20260528,002871,伟隆股份
20260528,002918,蒙娜丽莎
20260528,002943,宇晶股份
20260528,002957,科瑞技术
20260528,003036,泰坦股份
20260528,300179,四方达
20260528,600032,浙江新能
20260528,600206,有研新材
20260528,600237,铜峰电子
20260528,600367,红星发展
20260528,601101,昊华能源
20260528,601369,陕鼓动力
20260528,603006,联明股份
20260528,603032,德新科技
20260528,603256,宏和科技
20260528,603353,和顺石油
20260528,603527,众源新材
20260528,603601,再升科技
20260528,603678,火炬电子
20260528,603757,大元泵业
20260528,603988,中电电机
20260528,605580,恒盛能源
20260528,688006,杭可科技
20260529,000037,深南电A
20260529,002081,金 螳 螂
20260529,002824,和胜股份
20260529,600857,宁波中百
20260529,601086,国芳集团
20260529,601116,三江购物
20260529,601566,九牧王
20260529,601702,华峰铝业
20260529,603303,得邦照明
20260529,603890,春秋电子
20260529,605277,新亚电子
20260601,000037,深南电A
20260601,001210,金房能源
20260601,001314,亿道信息
20260601,002081,金 螳 螂
20260601,002580,圣阳股份
20260601,002830,名雕股份
20260601,002871,伟隆股份
20260601,002933,新兴装备
20260601,003030,祖名股份
20260601,300649,杭州园林
20260601,301236,软通动力
20260601,301329,信音电子
20260601,600160,巨化股份
20260601,600301,华锡有色
20260601,600367,红星发展
20260601,600596,新安股份
20260601,601101,昊华能源
20260601,603045,福达合金
20260601,603171,税友股份
20260601,603296,华勤技术
20260601,603341,龙旗科技
20260601,603678,火炬电子
20260601,603819,神力股份
20260601,603823,百合花
20260601,603877,太平鸟
20260601,603890,春秋电子
20260602,001210,金房能源
20260602,002957,科瑞技术
20260602,002962,五方光电
20260602,600105,永鼎股份
20260602,600301,华锡有色
20260602,600367,红星发展
20260602,603045,福达合金
20260602,603373,安邦护卫
20260602,603678,火炬电子
20260602,603687,大胜达
20260602,603890,春秋电子
20260602,605288,凯迪股份
20260602,605589,圣泉集团
20260603,001326,联域股份
20260603,002046,国机精工
20260603,002125,湘潭电化
20260603,002965,祥鑫科技
20260603,301115,联检科技
20260603,600310,广西能源
20260603,600367,红星发展
20260603,600596,新安股份
20260603,601231,环旭电子
20260603,603065,宿迁联盛
20260603,603109,神驰机电
20260603,603319,美湖股份
20260603,603656,泰禾智能
20260603,603938,三孚股份
20260603,605555,德昌股份
20260604,000725,京东方Ａ
20260604,002353,杰瑞股份
20260604,002645,华宏科技
20260604,003043,华亚智能
20260604,300726,宏达电子
20260604,301188,力诺药包
20260604,603210,泰鸿万立
20260604,603500,祥和实业
20260604,603516,淳中科技
20260604,603920,世运电路
20260604,688146,中船特气
20260605,300626,华瑞股份
20260605,600552,凯盛科技
20260605,603065,宿迁联盛
20260605,603078,江化微
20260605,603500,祥和实业
20260605,603859,能科科技
20260605,603938,三孚股份
20260605,688056,莱伯泰科
20260608,000970,中科三环
20260608,001696,宗申动力
20260608,002046,国机精工
20260608,603500,祥和实业
20260608,603859,能科科技
20260609,000029,深深房Ａ
20260609,000037,深南电A
20260609,000920,沃顿科技
20260609,001696,宗申动力
20260609,002057,中钢天源
20260609,002676,顺威股份
20260609,600596,新安股份
20260609,600903,贵州燃气
20260609,603002,宏昌电子
20260609,603065,宿迁联盛
20260609,603163,圣晖集成
20260609,603303,得邦照明
20260609,603688,石英股份
20260609,605111,新洁能
20260609,605589,圣泉集团
20260610,000029,深深房Ａ
20260610,000970,中科三环
20260610,002125,湘潭电化
20260610,002165,红 宝 丽
20260610,600378,昊华科技
20260610,603002,宏昌电子
20260610,603065,宿迁联盛
20260610,603687,大胜达
20260610,605589,圣泉集团
20260610,688662,富信科技
20260611,001696,宗申动力
20260611,002165,红 宝 丽
20260611,002842,翔鹭钨业
20260611,002913,奥士康
20260611,600141,兴发集团
20260611,600378,昊华科技
20260611,603936,博敏电子
20260611,688545,兴福电子
20260612,000768,中航西飞
20260612,000969,安泰科技
20260612,001359,平安电工
20260612,001360,南矿集团
20260612,002085,万丰奥威
20260612,002882,金龙羽
20260612,002935,天奥电子
20260612,600862,中航高科
20260612,603738,泰晶科技
20260615,001359,平安电工
20260615,002106,莱宝高科
20260615,002364,中恒电气
20260615,002440,闰土股份
20260615,002730,电光科技
20260615,002913,奥士康
20260615,601022,宁波远洋
20260615,603499,翔港科技
20260615,603516,淳中科技
20260615,603726,朗迪集团
20260615,603738,泰晶科技
20260615,605111,新洁能
20260616,600105,永鼎股份
20260616,603042,华脉科技
20260616,603078,江化微
20260616,603271,永杰新材
20260616,603516,淳中科技
20260617,000725,京东方Ａ
20260617,002201,九鼎新材
20260617,002918,蒙娜丽莎
20260622,000962,东方钽业
20260622,001359,平安电工
20260622,002057,中钢天源
20260622,600584,长电科技
